Coverage;Discr.;patType;ov;un;finKmin;finKmax;maxNbPat;patPreference;obj;PCR;DC;IPC;Size;Other
30;10;pat;20;20;2;15;5;-1;9;0.53;0.63;1.0;10;[]
30;10;pat;20;20;2;15;5;0;9;0.56;0.66;1.0;10;[]
30;10;pat;20;20;2;15;5;1;9;0.53;0.63;1.0;10;[]
30;10;pat;20;20;2;15;5;2;9;0.53;0.63;1.0;10;[]
30;10;pat;20;20;2;15;5;3;9;0.53;0.63;1.0;10;[]
30;10;pat;20;20;3;15;5;-1;9;0.56;0.66;1.0;10;[]
30;10;pat;20;20;3;15;5;0;9;0.56;0.66;1.0;10;[]
30;10;pat;20;20;3;15;5;1;9;0.56;0.66;1.0;10;[]
30;10;pat;20;20;3;15;5;2;9;0.56;0.66;1.0;10;[]
30;10;pat;20;20;3;15;5;3;9;0.52;0.62;1.0;10;[]
30;10;tag;20;20;2;15;5;-1;9;0.59;0.68;1.0;9;[]
30;10;tag;20;20;2;15;5;0;9;0.59;0.68;1.0;9;[]
30;10;tag;20;20;2;15;5;1;9;0.59;0.68;1.0;9;[]
30;10;tag;20;20;2;15;5;2;9;0.59;0.68;1.0;9;[]
30;10;tag;20;20;2;15;5;3;9;0.59;0.68;1.0;9;[]
30;10;tag;20;20;3;15;5;-1;9;0.59;0.68;1.0;9;[]
30;10;tag;20;20;3;15;5;0;9;0.59;0.68;1.0;9;[]
30;10;tag;20;20;3;15;5;1;9;0.59;0.68;1.0;9;[]
30;10;tag;20;20;3;15;5;2;9;0.59;0.68;1.0;9;[]
30;10;tag;20;20;3;15;5;3;9;0.59;0.68;1.0;9;[]
50;10;pat;20;20;2;15;5;-1;9;;;;;
50;10;pat;20;20;2;15;5;0;9;0.63;0.71;0.97;3;[]
50;10;pat;20;20;2;15;5;1;9;0.56;0.58;0.97;3;[]
50;10;pat;20;20;2;15;5;2;9;0.71;0.71;0.96;3;[]
50;10;pat;20;20;2;15;5;3;9;0.71;0.71;0.96;3;[]
50;10;pat;20;20;3;15;5;-1;9;0.63;0.71;0.97;3;[]
50;10;pat;20;20;3;15;5;0;9;0.63;0.71;0.97;3;[]
50;10;pat;20;20;3;15;5;1;9;0.56;0.58;0.97;3;[]
50;10;pat;20;20;3;15;5;2;9;0.71;0.71;0.96;3;[]
50;10;pat;20;20;3;15;5;3;9;0.71;0.71;0.96;3;[]
50;30;pat;20;20;2;15;5;-1;9;0.66;0.67;0.76;2;[]
50;30;pat;20;20;2;15;5;0;9;0.66;0.67;0.76;2;[]
50;30;pat;20;20;2;15;5;1;9;0.6;0.63;0.75;2;[]
50;30;pat;20;20;2;15;5;2;9;0.67;0.67;0.76;2;[]
50;30;pat;20;20;2;15;5;3;9;0.67;0.67;0.76;2;[]
50;30;pat;20;20;3;15;5;-1;9;0.65;0.65;0.87;3;[]
50;30;pat;20;20;3;15;5;0;9;0.65;0.65;0.87;3;[]
50;30;pat;20;20;3;15;5;1;9;0.62;0.64;0.89;3;[]
50;30;pat;20;20;3;15;5;2;9;0.65;0.65;0.87;3;[]
50;30;pat;20;20;3;15;5;3;9;0.64;0.65;0.89;3;[]
50;10;tag;20;20;2;15;5;-1;9;;;;;
50;10;tag;20;20;2;15;5;0;9;;;;;
50;10;tag;20;20;2;15;5;1;9;;;;;
50;10;tag;20;20;2;15;5;2;9;;;;;
50;10;tag;20;20;2;15;5;3;9;;;;;
50;10;tag;20;20;3;15;5;-1;9;;;;;
50;10;tag;20;20;3;15;5;0;9;;;;;
50;10;tag;20;20;3;15;5;1;9;;;;;
50;10;tag;20;20;3;15;5;2;9;;;;;
50;10;tag;20;20;3;15;5;3;9;;;;;
50;30;tag;20;20;2;15;5;-1;9;0.71;0.71;0.94;3;[]
50;30;tag;20;20;2;15;5;0;9;0.71;0.71;0.94;3;[]
50;30;tag;20;20;2;15;5;1;9;0.71;0.71;0.94;3;[]
50;30;tag;20;20;2;15;5;2;9;0.71;0.71;0.94;3;[]
50;30;tag;20;20;2;15;5;3;9;0.71;0.71;0.94;3;[]
50;30;tag;20;20;3;15;5;-1;9;0.71;0.71;0.94;3;[]
50;30;tag;20;20;3;15;5;0;9;0.71;0.71;0.94;3;[]
50;30;tag;20;20;3;15;5;1;9;0.71;0.71;0.94;3;[]
50;30;tag;20;20;3;15;5;2;9;0.71;0.71;0.94;3;[]
50;30;tag;20;20;3;15;5;3;9;0.65;0.71;0.94;3;[]
70;10;pat;20;20;2;15;5;-1;9;;;;;
70;10;pat;20;20;2;15;5;0;9;;;;;
70;10;pat;20;20;2;15;5;1;9;;;;;
70;10;pat;20;20;2;15;5;2;9;;;;;
70;10;pat;20;20;2;15;5;3;9;;;;;
70;10;pat;20;20;3;15;5;-1;9;;;;;
70;10;pat;20;20;3;15;5;0;9;;;;;
70;10;pat;20;20;3;15;5;1;9;;;;;
70;10;pat;20;20;3;15;5;2;9;;;;;
70;10;pat;20;20;3;15;5;3;9;;;;;
70;30;pat;20;20;2;15;5;-1;9;;;;;
70;30;pat;20;20;2;15;5;0;9;;;;;
70;30;pat;20;20;2;15;5;1;9;;;;;
70;30;pat;20;20;2;15;5;2;9;;;;;
70;30;pat;20;20;2;15;5;3;9;;;;;
70;30;pat;20;20;3;15;5;-1;9;;;;;
70;30;pat;20;20;3;15;5;0;9;;;;;
