Coverage;Discr.;patType;ov;un;finKmin;finKmax;maxNbPat;patPreference;obj;PCR;DC;IPC;Size;Other
30;10;pat;20;20;2;15;5;-1;9;0.68;0.86;1.0;5;[]
30;10;pat;20;20;2;15;5;0;9;0.68;0.86;1.0;5;[]
30;10;pat;20;20;2;15;5;1;9;0.68;0.86;1.0;5;[]
30;10;pat;20;20;2;15;5;2;9;0.66;0.83;1.0;5;[]
30;10;pat;20;20;2;15;5;3;9;0.68;0.86;1.0;5;[]
30;10;pat;20;20;3;15;5;-1;9;0.68;0.86;1.0;5;[]
30;10;pat;20;20;3;15;5;0;9;0.68;0.86;1.0;5;[]
30;10;pat;20;20;3;15;5;1;9;0.68;0.86;1.0;5;[]
30;10;pat;20;20;3;15;5;2;9;0.68;0.86;1.0;5;[]
30;10;pat;20;20;3;15;5;3;9;0.68;0.86;1.0;5;[]
30;10;tag;20;20;2;15;5;-1;9;0.76;0.96;1.0;5;[]
30;10;tag;20;20;2;15;5;0;9;0.76;0.96;1.0;5;[]
30;10;tag;20;20;2;15;5;1;9;0.76;0.96;1.0;5;[]
30;10;tag;20;20;2;15;5;2;9;0.76;0.96;1.0;5;[]
30;10;tag;20;20;2;15;5;3;9;0.76;0.96;1.0;5;[]
30;10;tag;20;20;3;15;5;-1;9;0.76;0.96;1.0;5;[]
30;10;tag;20;20;3;15;5;0;9;0.76;0.96;1.0;5;[]
30;10;tag;20;20;3;15;5;1;9;0.76;0.96;1.0;5;[]
30;10;tag;20;20;3;15;5;2;9;0.76;0.96;1.0;5;[]
30;10;tag;20;20;3;15;5;3;9;0.76;0.96;1.0;5;[]
50;10;pat;20;20;2;15;5;-1;9;0.81;0.81;1.0;4;[]
50;10;pat;20;20;2;15;5;0;9;0.81;0.81;1.0;4;[]
50;10;pat;20;20;2;15;5;1;9;0.81;0.81;1.0;4;[]
50;10;pat;20;20;2;15;5;2;9;0.81;0.81;1.0;4;[]
50;10;pat;20;20;2;15;5;3;9;0.81;0.81;1.0;4;[]
50;10;pat;20;20;3;15;5;-1;9;0.81;0.81;1.0;4;[]
50;10;pat;20;20;3;15;5;0;9;0.81;0.81;1.0;4;[]
50;10;pat;20;20;3;15;5;1;9;0.81;0.81;1.0;4;[]
50;10;pat;20;20;3;15;5;2;9;0.81;0.81;1.0;4;[]
50;10;pat;20;20;3;15;5;3;9;0.81;0.81;1.0;4;[]
50;30;pat;20;20;2;15;5;-1;9;0.81;0.81;1.0;4;[]
50;30;pat;20;20;2;15;5;0;9;0.81;0.81;1.0;4;[]
50;30;pat;20;20;2;15;5;1;9;0.81;0.81;1.0;4;[]
50;30;pat;20;20;2;15;5;2;9;0.81;0.81;1.0;4;[]
50;30;pat;20;20;2;15;5;3;9;0.81;0.81;1.0;4;[]
50;30;pat;20;20;3;15;5;-1;9;0.81;0.81;1.0;4;[]
