Coverage;Discr.;patType;ov;un;finKmin;finKmax;maxNbPat;patPreference;obj;PCR;DC;IPC;Size;Other
30;10;pat;20;20;2;15;5;-1;9;0.47;0.71;1.0;9;[]
30;10;pat;20;20;2;15;5;0;9;0.47;0.71;1.0;9;[]
30;10;pat;20;20;2;15;5;1;9;0.47;0.71;1.0;9;[]
30;10;pat;20;20;2;15;5;2;9;0.47;0.71;1.0;9;[]
30;10;pat;20;20;2;15;5;3;9;0.47;0.71;1.0;9;[]
30;10;pat;20;20;3;15;5;-1;9;0.5;0.7;1.0;10;[]
30;10;pat;20;20;3;15;5;0;9;0.47;0.71;1.0;9;[]
30;10;pat;20;20;3;15;5;1;9;0.47;0.71;1.0;9;[]
30;10;pat;20;20;3;15;5;2;9;0.5;0.7;1.0;10;[]
30;10;pat;20;20;3;15;5;3;9;0.47;0.71;1.0;9;[]
30;10;tag;20;20;2;15;5;-1;9;0.69;0.77;0.98;4;[]
30;10;tag;20;20;2;15;5;0;9;0.69;0.77;0.98;4;[]
30;10;tag;20;20;2;15;5;1;9;0.69;0.77;0.98;4;[]
30;10;tag;20;20;2;15;5;2;9;0.69;0.77;0.98;4;[]
30;10;tag;20;20;2;15;5;3;9;0.69;0.77;0.98;4;[]
30;10;tag;20;20;3;15;5;-1;9;0.69;0.77;0.98;4;[]
30;10;tag;20;20;3;15;5;0;9;0.69;0.77;0.98;4;[]
30;10;tag;20;20;3;15;5;1;9;0.69;0.77;0.98;4;[]
30;10;tag;20;20;3;15;5;2;9;0.69;0.77;0.98;4;[]
30;10;tag;20;20;3;15;5;3;9;0.69;0.77;0.98;4;[]
50;10;pat;20;20;2;15;5;-1;9;0.58;0.58;1.0;5;[]
50;10;pat;20;20;2;15;5;0;9;0.58;0.58;1.0;5;[]
50;10;pat;20;20;2;15;5;1;9;0.58;0.58;1.0;5;[]
50;10;pat;20;20;2;15;5;2;9;0.58;0.58;1.0;5;[]
50;10;pat;20;20;2;15;5;3;9;0.58;0.58;1.0;5;[]
50;10;pat;20;20;3;15;5;-1;9;0.58;0.58;1.0;5;[]
50;10;pat;20;20;3;15;5;0;9;0.58;0.58;1.0;5;[]
50;10;pat;20;20;3;15;5;1;9;0.58;0.58;1.0;5;[]
50;10;pat;20;20;3;15;5;2;9;0.58;0.58;1.0;5;[]
50;10;pat;20;20;3;15;5;3;9;0.58;0.58;1.0;5;[]
50;30;pat;20;20;2;15;5;-1;9;0.58;0.58;1.0;5;[]
50;30;pat;20;20;2;15;5;0;9;0.58;0.58;1.0;5;[]
50;30;pat;20;20;2;15;5;1;9;0.58;0.58;1.0;5;[]
