Coverage;Discr.;patType;ov;un;finKmin;finKmax;obj;PCR;DC;IPC;ARI;len
70;50;pat;15;15;2;7;3;0.77;0.91;0.78;[[6919.95, 20043.18, 10495.02], [847.97, 4882.63, 1650.8]];3
70;50;pat;15;15;2;7;5;0.81;0.95;0.87;[[31066.0, 8555.83, 19054.97], [2603.86, 2159.01, 2396.74]];3
70;50;pat;15;15;2;7;2;0.74;0.94;0.8;[[6959.7, 12495.83, 9399.95, 20043.18], [863.47, 1012.67, 729.38, 4882.63]];4
70;50;pat;15;15;2;7;7;0.78;1.0;0.83;[8555.83, 20043.18];2
70;50;pat;15;15;2;7;9;0.78;1.0;0.83;[8555.83, 20043.18];2
