Coverage;Discr.;patType;ov;un;finKmin;finKmax;maxNbPat;patPreference;obj;PCR;DC;IPC;Size;Other
30;10;pat;20;20;2;15;5;-1;9;0.63;0.77;1.0;8;[]
30;10;pat;20;20;2;15;5;1;9;0.57;0.71;1.0;8;[]
30;10;pat;20;20;2;15;5;2;9;0.63;0.77;1.0;8;[]
30;10;pat;20;20;2;15;5;3;9;0.57;0.71;1.0;8;[]
30;10;tag;20;20;2;15;5;-1;9;0.91;0.98;0.94;2;[]
30;10;tag;20;20;2;15;5;1;9;0.91;0.98;0.94;2;[]
30;10;tag;20;20;2;15;5;2;9;0.91;0.98;0.94;2;[]
30;10;tag;20;20;2;15;5;3;9;0.98;0.98;0.92;2;[]
50;10;pat;20;20;2;15;5;-1;9;0.57;0.66;0.96;2;[]
50;10;pat;20;20;2;15;5;1;9;0.57;0.66;0.96;2;[]
50;10;pat;20;20;2;15;5;2;9;0.57;0.66;0.96;2;[]
50;10;pat;20;20;2;15;5;3;9;0.57;0.66;0.96;2;[]
50;30;pat;20;20;2;15;5;-1;9;0.57;0.66;0.96;2;[]
50;30;pat;20;20;2;15;5;1;9;0.57;0.66;0.96;2;[]
50;30;pat;20;20;2;15;5;2;9;0.57;0.66;0.96;2;[]
50;30;pat;20;20;2;15;5;3;9;0.57;0.66;0.96;2;[]
50;10;tag;20;20;2;15;5;-1;9;0.98;0.98;0.92;2;[]
50;10;tag;20;20;2;15;5;1;9;0.98;0.98;0.92;2;[]
50;10;tag;20;20;2;15;5;2;9;0.98;0.98;0.92;2;[]
50;10;tag;20;20;2;15;5;3;9;0.98;0.98;0.92;2;[]
50;30;tag;20;20;2;15;5;-1;9;0.92;1.0;0.88;2;[]
50;30;tag;20;20;2;15;5;1;9;0.92;1.0;0.88;2;[]
50;30;tag;20;20;2;15;5;2;9;0.92;1.0;0.88;2;[]
50;30;tag;20;20;2;15;5;3;9;0.92;1.0;0.88;2;[]
70;10;pat;20;20;2;15;5;-1;9;0.92;0.92;1.0;2;[]
70;10;pat;20;20;2;15;5;1;9;0.92;0.92;1.0;2;[]
70;10;pat;20;20;2;15;5;2;9;0.92;0.92;1.0;2;[]
70;10;pat;20;20;2;15;5;3;9;0.92;0.92;1.0;2;[]
70;30;pat;20;20;2;15;5;-1;9;0.92;0.92;1.0;2;[]
70;30;pat;20;20;2;15;5;1;9;0.92;0.92;1.0;2;[]
70;30;pat;20;20;2;15;5;2;9;0.92;0.92;1.0;2;[]
70;30;pat;20;20;2;15;5;3;9;0.92;0.92;1.0;2;[]
70;50;pat;20;20;2;15;5;-1;9;0.92;0.92;1.0;2;[]
70;50;pat;20;20;2;15;5;1;9;0.92;0.92;1.0;2;[]
70;50;pat;20;20;2;15;5;2;9;0.92;0.92;1.0;2;[]
70;50;pat;20;20;2;15;5;3;9;0.92;0.92;1.0;2;[]
70;10;tag;20;20;2;15;5;-1;9;0.96;0.98;0.93;2;[]
70;10;tag;20;20;2;15;5;1;9;0.98;0.98;0.92;2;[]
70;10;tag;20;20;2;15;5;2;9;0.98;0.98;0.92;2;[]
70;10;tag;20;20;2;15;5;3;9;0.98;0.98;0.92;2;[]
70;30;tag;20;20;2;15;5;-1;9;1.0;1.0;0.87;2;[]
70;30;tag;20;20;2;15;5;1;9;0.97;1.0;0.88;2;[]
70;30;tag;20;20;2;15;5;2;9;0.97;1.0;0.88;2;[]
70;30;tag;20;20;2;15;5;3;9;0.97;1.0;0.88;2;[]
70;50;tag;20;20;2;15;5;-1;9;0.98;1.0;0.86;2;[]
70;50;tag;20;20;2;15;5;1;9;0.98;1.0;0.86;2;[]
70;50;tag;20;20;2;15;5;2;9;0.95;1.0;0.86;2;[]
70;50;tag;20;20;2;15;5;3;9;0.98;1.0;0.86;2;[]
