Coverage;Discr.;patType;ov;un;finKmin;finKmax;maxNbPat;patPreference;obj;PCR;DC;IPC;Size;Other
30;10;pat;20;20;2;15;5;-1;9;0.47;0.73;0.99;5;[]
30;10;pat;20;20;2;15;5;0;9;0.47;0.55;1.0;4;[]
30;10;pat;20;20;2;15;5;1;9;0.47;0.73;0.99;5;[]
30;10;pat;20;20;2;15;5;2;9;0.47;0.55;1.0;4;[]
30;10;pat;20;20;2;15;5;3;9;0.47;0.55;1.0;4;[]
30;10;pat;20;20;3;15;5;-1;9;0.47;0.55;1.0;4;[]
30;10;pat;20;20;3;15;5;0;9;0.47;0.55;1.0;4;[]
30;10;pat;20;20;3;15;5;1;9;0.47;0.55;1.0;4;[]
30;10;pat;20;20;3;15;5;2;9;0.47;0.55;1.0;4;[]
30;10;pat;20;20;3;15;5;3;9;0.47;0.55;1.0;4;[]
30;10;tag;20;20;2;15;5;-1;9;0.67;0.9;0.99;3;[]
30;10;tag;20;20;2;15;5;0;9;0.67;0.9;0.99;3;[]
30;10;tag;20;20;2;15;5;1;9;0.67;0.9;0.99;3;[]
30;10;tag;20;20;2;15;5;2;9;0.67;0.9;0.99;3;[]
30;10;tag;20;20;2;15;5;3;9;0.67;0.9;0.99;3;[]
30;10;tag;20;20;3;15;5;-1;9;0.67;0.9;0.99;3;[]
30;10;tag;20;20;3;15;5;0;9;0.67;0.9;0.99;3;[]
30;10;tag;20;20;3;15;5;1;9;0.67;0.9;0.99;3;[]
30;10;tag;20;20;3;15;5;2;9;0.67;0.9;0.99;3;[]
30;10;tag;20;20;3;15;5;3;9;0.67;0.9;0.99;3;[]
50;10;pat;20;20;2;15;5;-1;9;0.77;0.82;0.99;5;[]
50;10;pat;20;20;2;15;5;0;9;0.77;0.82;0.99;5;[]
50;10;pat;20;20;2;15;5;1;9;0.77;0.82;0.99;5;[]
50;10;pat;20;20;2;15;5;2;9;0.77;0.82;0.99;5;[]
50;10;pat;20;20;2;15;5;3;9;0.77;0.82;0.99;5;[]
50;10;pat;20;20;3;15;5;-1;9;0.77;0.82;0.99;5;[]
50;10;pat;20;20;3;15;5;0;9;0.77;0.82;0.99;5;[]
50;10;pat;20;20;3;15;5;1;9;0.77;0.82;0.99;5;[]
50;10;pat;20;20;3;15;5;2;9;0.77;0.82;0.99;5;[]
50;10;pat;20;20;3;15;5;3;9;0.77;0.82;0.99;5;[]
50;30;pat;20;20;2;15;5;-1;9;0.75;0.8;0.98;5;[]
50;30;pat;20;20;2;15;5;0;9;0.75;0.8;0.98;5;[]
50;30;pat;20;20;2;15;5;1;9;0.73;0.77;0.98;5;[]
50;30;pat;20;20;2;15;5;2;9;0.75;0.8;0.98;5;[]
50;30;pat;20;20;2;15;5;3;9;0.73;0.77;0.98;5;[]
50;30;pat;20;20;3;15;5;-1;9;0.73;0.77;0.98;5;[]
50;30;pat;20;20;3;15;5;0;9;0.75;0.8;0.98;5;[]
50;30;pat;20;20;3;15;5;1;9;0.73;0.77;0.98;5;[]
50;30;pat;20;20;3;15;5;2;9;0.73;0.77;0.98;5;[]
50;30;pat;20;20;3;15;5;3;9;0.73;0.77;0.98;5;[]
50;10;tag;20;20;2;15;5;-1;9;0.7;0.7;0.92;2;[]
50;10;tag;20;20;2;15;5;0;9;0.7;0.7;0.92;2;[]
50;10;tag;20;20;2;15;5;1;9;0.7;0.7;0.92;2;[]
50;10;tag;20;20;2;15;5;2;9;0.7;0.7;0.92;2;[]
50;10;tag;20;20;2;15;5;3;9;0.7;0.7;0.92;2;[]
50;10;tag;20;20;3;15;5;-1;9;0.82;0.82;0.99;6;[]
50;10;tag;20;20;3;15;5;0;9;0.78;0.78;0.99;6;[]
50;10;tag;20;20;3;15;5;1;9;0.78;0.78;0.99;6;[]
50;10;tag;20;20;3;15;5;2;9;0.78;0.78;0.99;6;[]
50;10;tag;20;20;3;15;5;3;9;0.78;0.78;0.99;6;[]
50;30;tag;20;20;2;15;5;-1;9;0.72;0.82;0.84;2;[]
50;30;tag;20;20;2;15;5;0;9;0.72;0.82;0.84;2;[]
50;30;tag;20;20;2;15;5;1;9;0.72;0.82;0.84;2;[]
50;30;tag;20;20;2;15;5;2;9;0.72;0.82;0.84;2;[]
50;30;tag;20;20;2;15;5;3;9;0.72;0.82;0.84;2;[]
50;30;tag;20;20;3;15;5;-1;9;0.74;0.8;0.95;4;[]
50;30;tag;20;20;3;15;5;0;9;0.77;0.82;0.96;4;[]
50;30;tag;20;20;3;15;5;1;9;0.77;0.82;0.96;4;[]
50;30;tag;20;20;3;15;5;2;9;0.74;0.8;0.95;4;[]
50;30;tag;20;20;3;15;5;3;9;0.72;0.77;0.96;4;[]
70;10;pat;20;20;2;15;5;-1;9;;;;;
70;10;pat;20;20;2;15;5;0;9;;;;;
70;10;pat;20;20;2;15;5;1;9;;;;;
70;10;pat;20;20;2;15;5;2;9;;;;;
70;10;pat;20;20;2;15;5;3;9;;;;;
70;10;pat;20;20;3;15;5;-1;9;;;;;
70;10;pat;20;20;3;15;5;0;9;;;;;
70;10;pat;20;20;3;15;5;1;9;;;;;
70;10;pat;20;20;3;15;5;2;9;;;;;
70;10;pat;20;20;3;15;5;3;9;;;;;
70;30;pat;20;20;2;15;5;-1;9;0.77;0.77;0.87;2;[]
70;30;pat;20;20;2;15;5;0;9;0.77;0.77;0.87;2;[]
70;30;pat;20;20;2;15;5;1;9;0.77;0.77;0.87;2;[]
70;30;pat;20;20;2;15;5;2;9;0.77;0.77;0.87;2;[]
