Coverage;Discr.;patType;ov;un;finKmin;finKmax;maxNbPat;patPreference;obj;PCR;DC;IPC;Size;Other
30;10;pat;20;20;2;15;5;-1;9;0.62;0.73;1.0;4;[]
30;10;pat;20;20;2;15;5;0;9;0.49;0.6;1.0;4;[]
30;10;pat;20;20;2;15;5;1;9;0.49;0.6;1.0;4;[]
30;10;pat;20;20;2;15;5;2;9;0.62;0.73;1.0;4;[]
30;10;pat;20;20;2;15;5;3;9;0.62;0.73;1.0;4;[]
30;10;pat;20;20;3;15;5;-1;9;0.62;0.73;1.0;4;[]
30;10;pat;20;20;3;15;5;0;9;0.62;0.73;1.0;4;[]
30;10;pat;20;20;3;15;5;1;9;0.49;0.6;1.0;4;[]
30;10;pat;20;20;3;15;5;2;9;0.49;0.6;1.0;4;[]
30;10;pat;20;20;3;15;5;3;9;0.62;0.73;1.0;4;[]
30;10;tag;20;20;2;15;5;-1;9;0.71;0.71;0.99;8;[]
30;10;tag;20;20;2;15;5;0;9;0.71;0.71;0.99;8;[]
30;10;tag;20;20;2;15;5;1;9;0.71;0.71;0.99;8;[]
30;10;tag;20;20;2;15;5;2;9;0.71;0.71;0.99;8;[]
30;10;tag;20;20;2;15;5;3;9;0.71;0.71;0.99;8;[]
30;10;tag;20;20;3;15;5;-1;9;0.71;0.71;0.99;8;[]
30;10;tag;20;20;3;15;5;0;9;0.71;0.71;0.99;8;[]
30;10;tag;20;20;3;15;5;1;9;0.71;0.71;0.99;8;[]
30;10;tag;20;20;3;15;5;2;9;0.71;0.71;0.99;8;[]
30;10;tag;20;20;3;15;5;3;9;0.71;0.71;0.99;8;[]
50;10;pat;20;20;2;15;5;-1;9;0.71;0.71;0.99;3;[]
50;10;pat;20;20;2;15;5;0;9;0.71;0.71;0.99;3;[]
50;10;pat;20;20;2;15;5;1;9;0.71;0.71;0.99;3;[]
50;10;pat;20;20;2;15;5;2;9;0.71;0.71;0.99;3;[]
50;10;pat;20;20;2;15;5;3;9;0.71;0.71;0.99;3;[]
50;10;pat;20;20;3;15;5;-1;9;0.71;0.71;0.99;3;[]
50;10;pat;20;20;3;15;5;0;9;0.71;0.71;0.99;3;[]
50;10;pat;20;20;3;15;5;1;9;0.71;0.71;0.99;3;[]
50;10;pat;20;20;3;15;5;2;9;0.71;0.71;0.99;3;[]
50;10;pat;20;20;3;15;5;3;9;0.71;0.71;0.99;3;[]
50;30;pat;20;20;2;15;5;-1;9;0.74;0.74;0.97;3;[]
50;30;pat;20;20;2;15;5;0;9;0.74;0.74;0.97;3;[]
50;30;pat;20;20;2;15;5;1;9;0.74;0.74;0.97;3;[]
50;30;pat;20;20;2;15;5;2;9;0.74;0.74;0.97;3;[]
50;30;pat;20;20;2;15;5;3;9;0.74;0.74;0.97;3;[]
50;30;pat;20;20;3;15;5;-1;9;0.74;0.74;0.97;3;[]
50;30;pat;20;20;3;15;5;0;9;0.74;0.74;0.97;3;[]
50;30;pat;20;20;3;15;5;1;9;0.74;0.74;0.97;3;[]
50;30;pat;20;20;3;15;5;2;9;0.74;0.74;0.97;3;[]
50;30;pat;20;20;3;15;5;3;9;0.74;0.74;0.97;3;[]
50;10;tag;20;20;2;15;5;-1;9;;;;;
50;10;tag;20;20;2;15;5;0;9;;;;;
50;10;tag;20;20;2;15;5;1;9;;;;;
50;10;tag;20;20;2;15;5;2;9;;;;;
50;10;tag;20;20;2;15;5;3;9;;;;;
50;10;tag;20;20;3;15;5;-1;9;;;;;
50;10;tag;20;20;3;15;5;0;9;;;;;
50;10;tag;20;20;3;15;5;1;9;;;;;
50;10;tag;20;20;3;15;5;2;9;;;;;
50;10;tag;20;20;3;15;5;3;9;;;;;
